Name,Series,Brand,Exclusive To,UPC,Release Date,Production Status,Scale,Reference Number,HDBID,Image URL
Batman,"Pop! Heroes, Pop! Vinyl, GameStop, Funko Black Friday Box 2015",Funko,"{'name': 'GameStop', 'url': '/marketplaces/hobbydb/subjects/gamestop-retailer'}, {'name': 'EB Games', 'url': '/marketplaces/hobbydb/subjects/eb-games-retailer'}",849803074982,2015,Exclusive,,1,316939,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456565/Batman_%2528Gold%2529_Vinyl_Art_Toys_27d3b196-1b4e-4670-ab44-a90b867b4e41_medium.jpg
Batman,"Pop! Heroes, Pop! Vinyl, Previews",Funko,,849803095307,2016,Exclusive,,111,316940,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456566/Batman_%2528The_Dark_Knight_Returns%2529_%2528Blue%2529_Vinyl_Art_Toys_a0ad65a2-aaed-4c73-a889-1a79ab5b625e_medium.jpg
Batman,"Pop! Heroes, Pop! Vinyl, Previews",Funko,,849803095314,2016,Exclusive,,117,316941,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456567/Batman_%2528The_Dark_Knight_Returns%2529_%2528Black%2529_Vinyl_Art_Toys_f16d0d7b-b428-4ba4-90bd-8555d0e6b6c4_medium.jpg
Baymax,"Pop! Disney, Pop! Vinyl",Funko,,849803048396,2014,,,111,316942,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1321661/Baymax_Vinyl_Art_Toys_344b78cb-877c-4753-8249-eee4d0179b49_medium.png
Baymax,"Pop! Disney, Pop! Vinyl, Pop! Super",Funko,"{'name': 'Amazon', 'url': '/marketplaces/hobbydb/subjects/amazon-retailer'}",849803048389,2014,Exclusive,"6""",111,316943,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1321662/Baymax_%2528Glow_in_the_Dark%2529_Vinyl_Art_Toys_33aa46b3-1713-490f-bd16-efe549aac686_medium.png
Black Bolt,"Pop! Vinyl, Pop! Marvel, Previews",Funko,,889698107648,2017,Exclusive,,191,316945,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456571/Black_Bolt_Vinyl_Art_Toys_f70a0aa7-cba3-47d4-9858-f53181cb7abd_medium.jpg
Black Bolt,"Pop! Vinyl, Pop! Marvel",Funko,,889698107655,2017,Exclusive,,191,316946,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456572/Black_Bolt_%2528Blue%2529_Vinyl_Art_Toys_0da30d01-46ca-4bfe-a33e-20053b218176_medium.jpg
Finn,"Pop! Vinyl, Pop! Star Wars",Funko,,849803062217,2015,,"3.75""",59,316947,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456573/Finn_Vinyl_Art_Toys_d6ce4835-4e2a-49cf-9826-a3d77cb6445f_medium.jpg
Finn,"Pop! Vinyl, Pop! Star Wars",Funko,"{'name': 'GameStop', 'url': '/marketplaces/hobbydb/subjects/gamestop-retailer'}",849803062347,2015,Exclusive,"3.75""",76,316948,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456574/Finn_%2528Stormtrooper%2529_Vinyl_Art_Toys_d8f2c015-1a40-492a-8ebd-2fc1e6b06cf4_medium.jpg
Blackest Night Superman,"Pop! Heroes, Pop! Vinyl, GameStop, Funko Black Friday Box 2015",Funko,"{'name': 'GameStop', 'url': '/marketplaces/hobbydb/subjects/gamestop-retailer'}, {'name': 'EB Games', 'url': '/marketplaces/hobbydb/subjects/eb-games-retailer'}",849803074739,2015,Exclusive,,83,316949,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456575/Blackest_Night_Superman_Vinyl_Art_Toys_706c08bc-ce37-4d01-9352-b85c2d340085_medium.png
Blackest Night Superman,"Pop! Heroes, Pop! Vinyl, GameStop, Funko Black Friday Box 2015",Funko,"{'name': 'GameStop', 'url': '/marketplaces/hobbydb/subjects/gamestop-retailer'}, {'name': 'EB Games', 'url': '/marketplaces/hobbydb/subjects/eb-games-retailer'}",849803074739,2015,Exclusive,,83,316950,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456576/Blackest_Night_Superman_%2528Gold%2529_Vinyl_Art_Toys_18f70a2e-bb6b-40fd-8a0c-89e74656d4f5_medium.jpg
BMO,"Pop! Television, Pop! Vinyl",Funko,,830395032771,,,"3.75""",52,316951,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1321671/BMO_Vinyl_Art_Toys_5566eade-79c9-419f-88c7-86e6c00111cf_medium.png
BMO,"Pop! Television, Pop! Vinyl",Funko,,849803040529,2014,Exclusive,,52,316952,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1321673/BMO_%2528White%2529_%2528Glow_in_the_Dark%2529_Vinyl_Art_Toys_6bbcbbc2-41a5-4aec-9910-e0069cbd9fad_medium.png
BMO,"Hot Topic, Pop! Television, Pop! Vinyl",Funko,"{'name': 'Hot Topic', 'url': '/marketplaces/hobbydb/subjects/hot-topic-retailer'}",849803043384,,Exclusive,,52,316953,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1321693/BMO_%2528Metallic%2529_Vinyl_Art_Toys_dd547e79-da0e-4867-b109-f7781fff6db7_medium.png
Boo Berry,"Pop! Vinyl, Pop! Ad Icons",Funko,,830395010717,2011,,,3,316954,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456580/Boo_Berry_Vinyl_Art_Toys_a5adcf3c-dc1e-46d8-ab15-76cd3f43ccde_medium.jpg
Boo Berry,"Pop! Vinyl, Pop! Ad Icons",Funko,,830395024653,2011,Exclusive,,3,316955,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1321700/Boo_Berry_%2528Metallic%2529_Vinyl_Art_Toys_ee5968cc-630d-44b9-bd7d-586a0834ab03_medium.png
Boo Berry,"Pop! Vinyl, Pop! Ad Icons",Funko,,0885102608022,2011,Chase,,3,316956,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1272529/Boo_Berry_Vinyl_Art_Toys_f5ce38eb-9282-4336-85b2-914bac1a8991_medium.jpg
Booker DeWitt,"Pop! Vinyl, Pop! Games",Funko,,849803061661,2015,,,62,316957,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1321724/Booker_DeWitt_Vinyl_Art_Toys_e991fbfc-3880-4b2f-a2c4-5aa224d2798b_medium.png
Booker DeWitt (Skyhook),"Pop! Vinyl, Pop! Games",Funko,,849803061678,2015,,,64,316958,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1321726/Booker_DeWitt_%2528Skyhook%2529_Vinyl_Art_Toys_81db99f2-39ae-444a-b04a-f19b5239bf74_medium.png
